,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1971.0,0.0,29.0,0.0,50.0
1,1971.0,0.0,29.0,1.0,50.0
2,1971.0,0.0,29.0,2.0,50.0
3,1971.0,0.0,29.0,3.0,50.0
4,1971.0,0.0,29.0,4.0,50.0
5,1971.0,0.0,29.0,5.0,50.0
6,1971.0,0.0,29.0,6.0,50.0
7,1971.0,0.0,29.0,7.0,50.0
8,1971.0,0.0,29.0,8.0,50.0
9,1971.0,0.0,29.0,9.0,50.0
10,1971.0,0.0,29.0,10.0,50.0
11,1971.0,0.0,29.0,11.0,50.0
12,1971.0,0.0,29.0,12.0,50.0
13,1971.0,0.0,29.0,13.0,50.0
14,1971.0,0.0,29.0,14.0,50.0
15,1971.0,0.0,29.0,15.0,50.0
16,1971.0,0.0,29.0,16.0,50.0
17,1971.0,0.0,29.0,17.0,50.0
18,1971.0,0.0,29.0,18.0,50.0
19,1971.0,0.0,29.0,19.0,50.0
20,1971.0,0.0,29.0,20.0,50.0
